shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,0,20,1789809320.315774918,247.148941,273.046326,10.119909,0.855857,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,1,22,1789809320.326816082,254.543503,222.483871,9.370216,0.774790,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,2,23,1789809320.332336903,229.641022,302.478027,16.172928,0.162192,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,4,24,1789809320.337872982,229.680939,280.961853,10.297649,0.246894,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,6,25,1789809320.343393087,226.800659,265.735260,9.693283,0.153938,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,7,26,1789809320.348927975,216.743301,254.954071,13.268074,0.157798,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},0,8,27,1789809320.354461908,214.216187,239.093109,9.553963,0.167218,1.000000
