shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,0,16,1789809320.293622017,220.502991,302.847504,23.630493,44.233017,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,1,18,1789809320.304689884,229.609680,326.890930,45.134949,26.561424,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,2,19,1789809320.310218096,227.533508,325.017029,42.151917,22.473541,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,3,20,1789809320.315774918,241.224915,319.871704,18.366226,24.385269,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,4,21,1789809320.321274042,239.580231,316.924164,18.567673,26.152359,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,5,22,1789809320.326816082,237.819977,307.852020,18.978806,24.557159,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,6,23,1789809320.332336903,236.069733,297.228271,19.713181,23.299118,1.000000
3,{6aae52a8-0000-4231-afd4-231cb04c0003},1,7,25,1789809320.343393087,230.512634,266.496338,13.394028,21.101089,1.000000
