shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,0,19,1789809390.925853968,255.382812,279.398834,10.785261,0.861726,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,1,21,1789809390.936913967,249.858093,302.983948,14.984734,0.185932,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,3,22,1789809390.942440987,245.432114,289.638977,14.154743,0.232108,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,4,23,1789809390.947973967,245.628479,271.451721,9.968432,0.751685,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,6,24,1789809390.953524113,238.968445,252.874695,9.748192,0.641226,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,7,25,1789809390.959038019,230.896744,234.137909,7.767487,0.167379,1.000000
7,{6aae52ef-0000-40a7-afd4-0a7cb1400007},0,8,26,1789809390.964562893,218.322006,215.928558,9.234468,0.319431,1.000000
