shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,0,17,1789809301.605489016,229.986115,316.105225,44.498901,32.047592,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,1,18,1789809301.611016989,237.283661,323.356812,46.955688,29.817566,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,2,19,1789809301.616544962,248.519577,322.813477,27.127686,26.019669,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,3,20,1789809301.622087002,243.918732,316.705109,31.325851,25.789383,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,4,21,1789809301.627716064,239.714203,308.636353,25.427124,24.481659,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,5,22,1789809301.633148909,236.511078,297.453491,24.012894,23.883224,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,6,23,1789809301.638674974,235.153122,284.265137,21.248627,24.048523,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},1,7,24,1789809301.644206047,227.718689,266.969940,11.784073,20.759796,1.000000
