shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,0,19,1789809301.616544962,246.809692,295.066956,11.747272,0.161647,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,1,21,1789809301.627716064,256.882599,230.754150,9.588062,0.839840,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,2,22,1789809301.633148909,235.802780,297.960541,13.469566,0.159573,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,3,23,1789809301.638674974,230.919739,281.723114,10.317844,0.468929,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,4,24,1789809301.644206047,221.276077,266.419739,10.655471,0.409500,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,6,25,1789809301.649736881,213.480377,249.030594,8.723597,0.570827,1.000000
2,{6aae5295-0000-42ed-afd4-2ede06240002},0,7,26,1789809301.655265093,240.645752,332.082825,14.193024,0.157693,1.000000
