shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,0,16,1789809337.388956070,225.804626,296.488037,36.648071,40.149429,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,1,18,1789809337.400002003,244.692657,321.239227,48.057358,31.600616,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,2,19,1789809337.405530930,246.558502,321.489624,46.852051,27.401184,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,3,20,1789809337.411052942,244.907684,313.871887,38.481934,25.834106,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,4,21,1789809337.416593075,241.393387,302.711914,33.671417,25.935875,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,5,22,1789809337.422188997,235.503067,291.119507,25.159943,27.655930,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,6,23,1789809337.427654028,230.174927,275.893555,21.905716,22.275284,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,7,24,1789809337.433178902,223.053894,258.505219,12.577393,21.448608,1.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},1,8,33,1789809337.483127117,330.088959,247.138046,28.098915,18.740692,1.000000
