shot_id,guid,page_sequence,index,buf_idx,flags,time_tick,time_seconds,n,az_deg,el_deg,radial_velocity_mps,dist_m,sync_idx,sync_buf,snr,peak,az1_deg,az2_deg,az3_deg,el1_deg,el2_deg,pk0,pk1,pk2,pk3,pk4,pk5
4,{6aae52b9-0000-4256-afd4-256984ec0004},0,0,6,9,9225,0.246307500,0.000000000,4.650000,-0.380000,29.890000,0.000000,0,-1,677,892,4.630000,4.670000,0.000000,-0.410000,-0.370000,566.052198,662.844181,764.797926,715.534687,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},0,32,5,9,9257,0.247161900,0.000850000,4.600000,-0.330000,29.880000,0.000000,0,-1,632,892,4.590000,4.610000,0.000000,-0.340000,-0.320000,496.857166,581.195354,752.507448,701.304674,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},0,64,5,9,9289,0.248016300,0.001700000,4.530000,0.010000,29.820000,0.000000,0,-1,565,893,4.540000,4.530000,0.000000,0.020000,0.010000,410.431623,478.247404,713.467598,661.851168,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},0,96,6,9,9321,0.248870700,0.002560000,4.500000,0.300000,29.750000,0.000000,0,-1,487,893,4.540000,4.480000,0.000000,0.330000,0.270000,325.682163,374.284983,653.338432,603.129864,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},4,128,6,9,9353,0.249725100,0.003410000,4.510000,0.870000,29.740000,0.000000,0,-1,401,893,4.580000,4.440000,0.000000,0.940000,0.800000,247.026682,278.284550,571.243763,525.784492,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},4,160,5,9,9385,0.250579500,0.004260000,4.500000,1.830000,29.760000,0.000000,0,-1,318,893,4.600000,4.400000,0.000000,1.940000,1.740000,181.723833,200.321674,479.212999,439.615250,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},4,192,5,9,9417,0.251433900,0.005120000,4.420000,3.220000,29.750000,0.000000,0,-1,254,893,4.500000,4.360000,0.000000,3.290000,3.150000,142.631531,154.314041,392.978191,358.054638,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},4,224,4,9,9449,0.252288300,0.005970000,4.270000,4.750000,29.690000,0.000000,0,-1,218,893,4.260000,4.290000,0.000000,4.740000,4.770000,132.150650,141.986609,323.965549,293.920040,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},8,256,4,9,9481,0.253142700,0.006820000,4.170000,5.820000,29.670000,0.000000,0,-1,203,893,4.130000,4.230000,0.000000,5.780000,5.880000,140.303373,149.478912,277.078152,252.574682,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},8,288,4,9,9513,0.253997100,0.007680000,4.160000,6.210000,29.730000,0.000000,0,-1,200,893,4.130000,4.200000,0.000000,6.180000,6.250000,156.645775,166.267157,248.048306,230.538845,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},8,320,5,9,9545,0.254851500,0.008530000,4.160000,6.180000,29.820000,0.000000,0,-1,204,893,4.150000,4.190000,0.000000,6.160000,6.210000,176.179409,185.776949,233.182907,222.359896,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},8,352,6,9,9577,0.255705900,0.009380000,4.160000,6.090000,29.910000,0.000000,0,-1,211,892,4.140000,4.180000,0.000000,6.070000,6.110000,193.998814,201.859474,228.879452,221.089125,0.000000,0.000000
4,{6aae52b9-0000-4256-afd4-256984ec0004},12,384,6,9,9609,0.256560300,0.010240000,4.140000,5.880000,29.960000,0.000000,0,-1,219,892,4.090000,4.190000,0.000000,5.840000,5.940000,210.109949,215.686560,230.706930,221.904516,0.000000,0.000000
