shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,0,20,1789809376.877949953,257.186401,272.629883,10.866444,0.859607,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,1,22,1789809376.889007092,238.773010,306.809692,16.121078,0.226026,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,2,23,1789809376.894530058,226.905640,287.276947,13.494701,0.424858,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,3,24,1789809376.900070906,217.714584,271.057617,12.823196,0.496896,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,4,25,1789809376.905591965,247.212097,332.261963,14.159595,0.161143,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},0,5,26,1789809376.911120892,196.871613,230.637573,9.575207,0.269945,1.000000
