shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,0,16,1789809376.855827093,228.328491,278.070038,38.497192,41.555584,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,1,18,1789809376.866879940,250.923248,320.210144,47.393982,30.647552,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,2,19,1789809376.872406006,252.025574,322.848450,47.553513,28.829041,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,3,20,1789809376.877949953,250.577850,318.876526,40.475800,25.022621,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,4,21,1789809376.883485079,243.963120,309.766357,37.428223,27.843750,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,5,22,1789809376.889007092,238.350571,295.953430,30.371582,23.395020,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,6,23,1789809376.894530058,231.013901,284.669464,21.943573,22.401901,1.000000
6,{6aae52e1-0000-402c-afd4-02ce9c100006},1,7,24,1789809376.900070906,224.666534,268.669739,14.892532,21.006088,1.000000
