shot_id,guid,page_sequence,index,buf_idx,flags,time_tick,time_seconds,n,az_deg,el_deg,radial_velocity_mps,dist_m,sync_idx,sync_buf,snr,peak,az1_deg,az2_deg,az3_deg,el1_deg,el2_deg,pk0,pk1,pk2,pk3,pk4,pk5
1,{6aae5277-0000-4103-afd4-103464ac0001},0,0,5,9,158697,4.237209900,0.000000000,4.340000,-0.470000,18.240000,0.000000,0,-1,107,944,4.300000,4.390000,0.000000,-0.520000,-0.430000,105.737448,126.824379,101.844072,95.783472,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,64,6,9,158761,4.238918700,0.001700000,4.200000,-0.460000,18.390000,0.000000,0,-1,193,943,4.170000,4.240000,0.000000,-0.500000,-0.430000,186.792612,225.045681,184.434652,176.609755,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,128,7,9,158825,4.240627500,0.003410000,4.130000,-0.440000,18.420000,0.000000,0,-1,313,943,4.110000,4.170000,0.000000,-0.480000,-0.410000,301.841497,358.572006,303.612947,288.667679,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},0,192,6,9,158889,4.242336300,0.005120000,4.080000,-0.410000,18.470000,0.000000,0,-1,425,943,4.070000,4.100000,0.000000,-0.430000,-0.400000,405.876637,480.206013,419.119596,397.572517,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},4,256,6,9,158953,4.244045100,0.006820000,4.030000,-0.410000,18.520000,0.000000,0,-1,517,942,4.030000,4.040000,0.000000,-0.420000,-0.400000,486.385822,573.753119,521.159172,490.065813,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},4,320,7,9,159017,4.245753900,0.008530000,4.030000,-0.360000,18.550000,0.000000,0,-1,600,942,4.020000,4.050000,0.000000,-0.380000,-0.350000,554.497242,651.823282,619.115829,578.489304,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},4,384,7,9,159081,4.247462700,0.010240000,4.000000,-0.320000,18.540000,0.000000,0,-1,668,942,3.990000,4.020000,0.000000,-0.340000,-0.310000,598.367453,708.876848,703.229904,663.913488,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},4,448,7,9,159145,4.249171500,0.011940000,3.910000,-0.300000,18.530000,0.000000,0,-1,707,942,3.910000,3.930000,0.000000,-0.320000,-0.290000,609.147549,730.940104,761.194229,728.461742,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},8,512,7,9,159209,4.250880300,0.013650000,3.810000,-0.260000,18.530000,0.000000,0,-1,709,942,3.810000,3.830000,0.000000,-0.280000,-0.260000,591.455698,708.997250,786.864758,749.256611,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},8,576,7,9,159273,4.252589100,0.015360000,3.730000,-0.170000,18.530000,0.000000,0,-1,676,942,3.720000,3.750000,0.000000,-0.190000,-0.160000,546.865463,646.944046,780.661106,731.261969,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},8,640,7,9,159337,4.254297900,0.017060000,3.680000,-0.020000,18.540000,0.000000,0,-1,624,942,3.670000,3.710000,0.000000,-0.050000,-0.010000,482.997894,557.994843,755.991936,701.447725,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},8,704,6,9,159401,4.256006700,0.018770000,3.680000,0.110000,18.550000,0.000000,0,-1,559,942,3.710000,3.660000,0.000000,0.140000,0.090000,411.888361,457.067490,712.153912,658.007860,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},12,768,4,9,159465,4.257715500,0.020480000,3.720000,0.370000,18.550000,0.000000,0,-1,478,942,3.820000,3.630000,0.000000,0.470000,0.280000,324.974060,358.685255,642.887354,589.336157,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},12,832,4,9,159529,4.259424300,0.022180000,3.720000,0.810000,18.560000,0.000000,0,-1,393,942,3.850000,3.600000,0.000000,0.930000,0.690000,233.119726,267.266035,560.172796,515.812635,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},12,896,4,9,159593,4.261133100,0.023890000,3.660000,1.320000,18.550000,0.000000,0,-1,327,942,3.780000,3.540000,0.000000,1.440000,1.200000,171.037912,194.990635,489.318371,455.266237,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},12,960,4,9,159657,4.262841900,0.025600000,3.620000,2.030000,18.540000,0.000000,0,-1,282,942,3.790000,3.460000,0.000000,2.190000,1.870000,141.364336,151.597261,437.349081,402.175188,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},16,1024,3,9,159721,4.264550700,0.027300000,3.610000,3.150000,18.510000,0.000000,0,-1,243,943,3.800000,3.440000,0.000000,3.330000,2.980000,120.340586,125.315189,383.596420,350.751877,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},16,1088,3,9,159785,4.266259500,0.029010000,3.500000,4.290000,18.530000,0.000000,0,-1,211,942,3.620000,3.380000,0.000000,4.410000,4.180000,104.671717,110.517740,327.329636,304.042101,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},16,1152,4,9,159849,4.267968300,0.030720000,3.310000,5.120000,18.530000,0.000000,0,-1,189,942,3.350000,3.270000,0.000000,5.160000,5.090000,102.672577,107.059479,286.457539,261.901617,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},16,1216,3,9,159913,4.269677100,0.032420000,3.170000,5.520000,18.500000,0.000000,0,-1,172,943,3.110000,3.250000,0.000000,5.450000,5.590000,103.781223,106.890202,255.578756,225.329399,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},20,1280,3,9,159977,4.271385900,0.034130000,3.180000,5.620000,18.480000,0.000000,0,-1,158,943,3.050000,3.330000,0.000000,5.490000,5.770000,111.422539,111.429691,219.554901,192.474127,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},20,1344,3,9,160041,4.273094700,0.035840000,3.300000,5.760000,18.510000,0.000000,0,-1,149,943,3.180000,3.420000,0.000000,5.650000,5.880000,122.119188,121.754408,188.357830,167.431831,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},20,1408,3,9,160105,4.274803500,0.037540000,3.360000,6.000000,18.550000,0.000000,0,-1,144,942,3.240000,3.490000,0.000000,5.890000,6.130000,126.181841,129.765272,164.734125,155.687332,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},20,1472,3,9,160169,4.276512300,0.039250000,3.180000,6.300000,18.520000,0.000000,0,-1,143,942,3.190000,3.170000,0.000000,6.310000,6.290000,133.876801,145.794153,146.050453,149.852037,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},24,1536,3,9,160233,4.278221100,0.040960000,2.880000,6.590000,18.500000,0.000000,0,-1,151,943,3.060000,2.710000,0.000000,6.770000,6.420000,143.274069,163.820982,152.829885,147.969723,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},24,1600,4,9,160297,4.279929900,0.042660000,2.870000,6.300000,18.510000,0.000000,0,-1,164,943,2.840000,2.910000,0.000000,6.270000,6.340000,155.165195,171.630383,175.795555,157.033205,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},24,1664,4,9,160361,4.281638700,0.044370000,3.060000,5.720000,18.530000,0.000000,0,-1,177,942,3.040000,3.090000,0.000000,5.700000,5.750000,175.578594,184.876919,181.999207,166.893005,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},24,1728,5,9,160425,4.283347500,0.046080000,3.160000,5.420000,18.540000,0.000000,0,-1,185,942,3.220000,3.120000,0.000000,5.470000,5.380000,190.898180,203.982592,175.777674,169.394016,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},28,1856,6,9,160553,4.286765100,0.049490000,3.110000,5.210000,18.610000,0.000000,0,-1,185,942,3.350000,2.880000,0.000000,5.450000,4.980000,189.117193,215.929747,159.672499,177.282095,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},28,1984,7,9,160681,4.290182700,0.052900000,2.780000,5.280000,18.590000,0.000000,0,-1,214,942,3.090000,2.480000,0.000000,5.600000,4.980000,209.798813,246.984959,195.966959,204.231739,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},28,2112,6,9,160809,4.293600300,0.056320000,2.970000,5.300000,18.560000,0.000000,0,-1,218,942,3.280000,2.670000,0.000000,5.610000,5.000000,207.905769,243.780613,208.114386,212.852955,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},28,2240,7,9,160937,4.297017900,0.059730000,2.880000,5.360000,18.590000,0.000000,0,-1,200,942,3.100000,2.660000,0.000000,5.580000,5.150000,192.074776,221.699476,186.766386,200.908184,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},32,2368,9,9,161065,4.300435500,0.063140000,2.840000,5.690000,18.600000,0.000000,0,-1,178,942,3.110000,2.570000,0.000000,5.960000,5.420000,162.330866,198.005438,166.178942,187.755823,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},32,2496,8,9,161193,4.303853100,0.066560000,2.610000,5.620000,18.530000,0.000000,0,-1,170,942,2.980000,2.250000,0.000000,6.000000,5.260000,171.550512,182.220936,158.517361,168.778896,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},32,2624,12,9,161321,4.307270700,0.069970000,2.870000,5.960000,18.490000,0.000000,0,-1,155,943,3.170000,2.590000,0.000000,6.250000,5.670000,148.984194,174.131393,139.701366,158.170462,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},32,2752,8,9,161449,4.310688300,0.073380000,2.360000,6.100000,18.570000,0.000000,0,-1,129,942,2.830000,1.900000,0.000000,6.570000,5.630000,123.702288,151.885748,120.768547,123.662949,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},36,2880,6,9,161577,4.314105900,0.076800000,2.120000,6.330000,18.530000,0.000000,0,-1,123,942,2.040000,2.220000,0.000000,6.240000,6.430000,112.599134,144.003630,122.073889,116.561651,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},36,3008,6,9,161705,4.317523500,0.080210000,2.660000,5.870000,18.500000,0.000000,0,-1,126,943,2.410000,2.920000,0.000000,5.620000,6.130000,132.436752,129.660368,127.644539,116.382837,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},36,3136,7,9,161833,4.320941100,0.083620000,2.980000,5.500000,18.490000,0.000000,0,-1,118,943,2.810000,3.170000,0.000000,5.320000,5.680000,128.631592,137.597322,90.041161,118.052959,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},36,3264,7,9,161961,4.324358700,0.087040000,2.230000,5.920000,18.510000,0.000000,0,-1,110,943,2.530000,1.940000,0.000000,6.220000,5.620000,125.294924,134.429932,84.471703,96.114874,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},40,3392,7,9,162089,4.327776300,0.090450000,2.510000,5.740000,18.540000,0.000000,0,-1,115,942,2.700000,2.340000,0.000000,5.930000,5.560000,129.817724,140.997171,95.099211,94.499588,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},40,3520,7,9,162217,4.331193900,0.093860000,2.780000,5.450000,18.460000,0.000000,0,-1,120,943,2.820000,2.740000,0.000000,5.500000,5.410000,127.639771,161.105394,94.792843,99.331141,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},40,3648,8,9,162345,4.334611500,0.097280000,1.850000,5.250000,18.490000,0.000000,0,-1,120,943,1.940000,1.770000,0.000000,5.340000,5.170000,130.484104,159.845352,89.341402,104.486942,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},40,3776,9,9,162473,4.338029100,0.100690000,2.330000,5.200000,18.540000,0.000000,0,-1,115,942,2.690000,1.990000,0.000000,5.560000,4.860000,123.386383,148.065090,104.266405,87.110996,0.000000,0.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},44,3904,8,9,162601,4.341446700,0.104100000,2.050000,4.920000,18.460000,0.000000,0,-1,140,943,1.770000,2.340000,0.000000,4.640000,5.210000,122.100115,192.570686,124.164820,126.149654,0.000000,0.000000
