shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
1,{6aae5277-0000-4103-afd4-103464ac0001},1,0,21,1789809271.026384115,232.965576,317.365051,19.259033,36.752808,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,1,22,1789809271.031919003,238.668213,328.905884,25.844604,26.534897,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,2,23,1789809271.037447929,240.342712,325.910553,35.334366,27.107239,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,3,24,1789809271.042994976,244.323486,320.227112,41.425781,31.686462,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,4,26,1789809271.054039001,250.370758,316.249420,39.711365,22.393265,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,5,29,1789809271.070630074,256.550720,283.637451,37.570343,22.913300,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,6,32,1789809271.087243080,255.876862,249.952881,34.936157,23.413078,1.000000
1,{6aae5277-0000-4103-afd4-103464ac0001},1,7,35,1789809271.103811979,251.297836,213.411636,34.858673,21.354996,1.000000
