shot_id,guid,page_sequence,index,buf_idx,flags,time_tick,time_seconds,n,az_deg,el_deg,radial_velocity_mps,dist_m,sync_idx,sync_buf,snr,peak,az1_deg,az2_deg,az3_deg,el1_deg,el2_deg,pk0,pk1,pk2,pk3,pk4,pk5
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,0,8,9,92393,2.466893100,0.000000000,4.510000,-0.480000,31.750000,0.000000,0,-1,465,884,4.480000,4.540000,0.000000,-0.520000,-0.460000,425.903797,496.525764,486.905575,452.542305,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,32,8,9,92425,2.467747500,0.000850000,4.460000,-0.410000,31.810000,0.000000,0,-1,534,884,4.430000,4.500000,0.000000,-0.450000,-0.380000,469.195843,547.450781,581.021309,539.789200,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,64,7,9,92457,2.468601900,0.001700000,4.410000,-0.310000,31.850000,0.000000,0,-1,550,884,4.380000,4.450000,0.000000,-0.350000,-0.280000,459.218025,533.876419,626.999140,584.043264,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,96,6,9,92489,2.469456300,0.002560000,4.370000,-0.150000,31.880000,0.000000,0,-1,514,884,4.360000,4.400000,0.000000,-0.180000,-0.130000,401.930809,463.877916,617.653131,577.536821,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},4,128,5,9,92521,2.470310700,0.003410000,4.340000,0.120000,31.890000,0.000000,0,-1,438,884,4.360000,4.340000,0.000000,0.140000,0.110000,315.074921,359.085798,559.555292,524.368286,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},4,160,5,9,92553,2.471165100,0.004260000,4.300000,0.680000,31.870000,0.000000,0,-1,341,884,4.380000,4.240000,0.000000,0.750000,0.610000,222.837925,249.323845,469.809771,439.449549,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},4,192,4,9,92585,2.472019500,0.005120000,4.220000,1.810000,31.790000,0.000000,0,-1,252,884,4.350000,4.100000,0.000000,1.940000,1.700000,154.478550,170.450211,373.382568,346.910954,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},4,224,4,9,92617,2.472873900,0.005970000,4.060000,3.730000,31.700000,0.000000,0,-1,197,884,4.170000,3.970000,0.000000,3.830000,3.640000,122.106075,132.740736,294.375420,270.615816,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},8,256,5,9,92649,2.473728300,0.006820000,3.920000,5.280000,31.720000,0.000000,0,-1,173,884,3.970000,3.890000,0.000000,5.320000,5.250000,118.792057,128.264427,240.091085,218.255520,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},8,288,5,9,92681,2.474582700,0.007680000,3.860000,5.780000,31.830000,0.000000,0,-1,165,884,3.870000,3.860000,0.000000,5.790000,5.780000,131.233931,140.770674,204.983950,186.413527,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},8,320,5,9,92713,2.475437100,0.008530000,3.820000,6.010000,31.960000,0.000000,0,-1,167,883,3.800000,3.840000,0.000000,6.000000,6.030000,151.401758,161.036253,185.973644,171.753168,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},8,352,5,9,92745,2.476291500,0.009380000,3.820000,5.720000,32.070000,0.000000,0,-1,176,883,3.780000,3.870000,0.000000,5.680000,5.770000,172.151327,180.991888,180.925131,171.157122,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},12,384,5,9,92777,2.477145900,0.010240000,3.820000,5.590000,32.150000,0.000000,0,-1,185,882,3.810000,3.850000,0.000000,5.570000,5.610000,187.299252,195.769072,181.455612,176.934004,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},12,416,6,9,92809,2.478000300,0.011090000,3.840000,5.500000,32.200000,0.000000,0,-1,188,882,3.840000,3.840000,0.000000,5.500000,5.510000,192.449093,200.986862,179.767609,180.412531,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},12,448,5,9,92841,2.478854700,0.011940000,3.810000,5.530000,32.210000,0.000000,0,-1,183,882,3.850000,3.790000,0.000000,5.570000,5.510000,187.669992,197.514296,172.641277,176.554918,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},12,480,4,9,92873,2.479709100,0.012800000,3.740000,5.640000,32.200000,0.000000,0,-1,174,882,3.810000,3.670000,0.000000,5.710000,5.570000,178.270340,191.887617,162.107944,166.618824,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},16,512,3,9,92905,2.480563500,0.013650000,3.620000,5.670000,32.210000,0.000000,0,-1,169,882,3.750000,3.510000,0.000000,5.790000,5.550000,173.189640,192.456245,153.566599,157.772303,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},16,544,3,9,92937,2.481417900,0.014500000,3.520000,5.520000,32.270000,0.000000,0,-1,171,882,3.680000,3.380000,0.000000,5.670000,5.370000,177.754164,204.799175,150.264502,155.154467,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},16,576,3,9,92969,2.482272300,0.015360000,3.460000,5.220000,32.370000,0.000000,0,-1,180,882,3.620000,3.320000,0.000000,5.370000,5.080000,188.887119,224.120617,152.211189,160.290003,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},16,608,4,9,93001,2.483126700,0.016210000,3.380000,4.900000,32.490000,0.000000,0,-1,193,881,3.510000,3.270000,0.000000,5.020000,4.780000,202.630758,243.759155,160.335302,170.538425,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},20,640,4,9,93033,2.483981100,0.017060000,3.350000,4.650000,32.550000,0.000000,0,-1,207,881,3.440000,3.280000,0.000000,4.730000,4.570000,213.382244,256.823301,176.810026,183.528662,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},20,672,4,9,93065,2.484835500,0.017920000,3.350000,4.520000,32.570000,0.000000,0,-1,219,881,3.400000,3.310000,0.000000,4.570000,4.480000,220.324993,261.883736,198.220015,197.490454,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},20,704,4,9,93097,2.485689900,0.018770000,3.390000,4.540000,32.580000,0.000000,0,-1,229,881,3.420000,3.360000,0.000000,4.580000,4.520000,223.664045,262.309313,221.302509,211.412907,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},20,736,4,9,93129,2.486544300,0.019620000,3.420000,4.580000,32.610000,0.000000,0,-1,236,880,3.460000,3.400000,0.000000,4.620000,4.550000,221.468210,259.720087,241.354704,225.725174,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},24,768,4,9,93161,2.487398700,0.020480000,3.380000,4.850000,32.670000,0.000000,0,-1,238,880,3.460000,3.320000,0.000000,4.930000,4.790000,211.803913,251.948833,255.620480,237.901211,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},24,800,4,9,93193,2.488253100,0.021330000,3.310000,5.200000,32.750000,0.000000,0,-1,237,880,3.420000,3.210000,0.000000,5.310000,5.110000,199.165344,239.062309,266.032219,248.107910,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},24,832,5,9,93225,2.489107500,0.022180000,3.230000,5.590000,32.790000,0.000000,0,-1,233,880,3.340000,3.120000,0.000000,5.700000,5.490000,188.142061,223.292112,272.127390,255.028009,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},24,864,6,9,93257,2.489961900,0.023040000,3.180000,5.990000,32.820000,0.000000,0,-1,229,880,3.270000,3.090000,0.000000,6.080000,5.900000,181.150436,207.734108,273.970366,257.314444,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},28,896,6,9,93289,2.490816300,0.023890000,3.210000,6.370000,32.840000,0.000000,0,-1,226,879,3.330000,3.100000,0.000000,6.490000,6.260000,180.075169,197.181702,273.149014,256.794691,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},28,928,7,9,93321,2.491670700,0.024740000,3.220000,6.780000,32.860000,0.000000,0,-1,224,879,3.320000,3.140000,0.000000,6.870000,6.690000,182.348490,192.877054,271.848440,254.936218,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},28,960,6,9,93353,2.492525100,0.025600000,3.220000,7.110000,32.900000,0.000000,0,-1,225,879,3.280000,3.160000,0.000000,7.180000,7.060000,185.114145,192.712545,270.613432,253.763199,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},28,992,6,9,93385,2.493379500,0.026450000,3.170000,7.380000,32.930000,0.000000,0,-1,226,879,3.210000,3.150000,0.000000,7.410000,7.360000,187.788010,194.777250,271.371603,254.178047,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},32,1024,6,9,93417,2.494233900,0.027300000,3.090000,7.630000,32.960000,0.000000,0,-1,229,879,3.080000,3.120000,0.000000,7.610000,7.650000,190.157890,198.405981,274.720192,256.811380,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},32,1056,7,9,93449,2.495088300,0.028160000,2.990000,7.890000,32.990000,0.000000,0,-1,231,879,2.910000,3.070000,0.000000,7.820000,7.980000,191.547871,201.480389,277.396441,258.266926,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},32,1088,7,9,93481,2.495942700,0.029010000,2.880000,8.180000,33.010000,0.000000,0,-1,231,879,2.730000,3.040000,0.000000,8.030000,8.340000,192.298889,202.999115,275.480747,255.509615,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},32,1120,8,9,93513,2.496797100,0.029860000,2.800000,8.460000,33.040000,0.000000,0,-1,227,879,2.570000,3.040000,0.000000,8.230000,8.700000,192.419291,201.964378,268.144608,247.755051,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},36,1152,8,9,93545,2.497651500,0.030720000,2.770000,8.780000,33.080000,0.000000,0,-1,220,878,2.460000,3.080000,0.000000,8.470000,9.090000,191.643238,199.944973,255.846977,236.670971,0.000000,0.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},36,1184,8,9,93577,2.498505900,0.031570000,2.750000,8.960000,33.100000,0.000000,0,-1,213,878,2.390000,3.120000,0.000000,8.590000,9.330000,190.595388,198.061466,240.913630,224.010944,0.000000,0.000000
