shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,0,19,1789809349.744456053,257.662109,283.851715,12.059147,0.292839,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,1,21,1789809349.755515099,251.484924,298.494629,14.094063,0.409081,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,2,22,1789809349.761044025,249.949722,336.155914,15.657602,0.253337,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,4,23,1789809349.766571999,236.998550,266.682983,12.044084,0.165337,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,5,24,1789809349.772104025,226.836075,247.851639,9.600981,0.286610,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},0,7,25,1789809349.777635098,217.940628,227.293335,8.050861,0.497803,1.000000
