shot_id,guid,track_id,point_index,frame_number,timestamp,u_px,v_px,radius_px,circularity_factor,shutter_time_ms
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,0,16,1789809349.727868080,226.043213,305.788147,35.740967,37.793362,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,1,18,1789809349.738922119,250.026398,322.400330,46.930786,30.774879,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,2,19,1789809349.744456053,252.091171,320.450928,45.674255,24.049011,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,3,20,1789809349.749994755,248.211472,312.801056,45.415619,28.169846,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,4,21,1789809349.755515099,243.023346,299.127319,39.080566,25.250137,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,5,22,1789809349.761044025,238.543823,283.971802,35.375580,23.800064,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,6,23,1789809349.766571999,232.734940,267.555573,31.585114,23.604004,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,7,24,1789809349.772104025,225.107849,249.503799,24.753540,22.874939,1.000000
5,{6aae52c6-0000-400d-afd4-00d157cc0005},1,8,25,1789809349.777635098,218.729034,228.713837,19.884659,20.444550,1.000000
